FECHA;ORIGEN;DESTINO;DISTANCIA DESTINO;CONSUMO ACPM DESTINO e;ODOM INICIAL;ODOM FINAL;DISTANCIA RECORRIDA;AUDITORIA DISTANCIA;CANTIDAD CARGADA;CANTIDAD DESCARGADA;DIFERENCIA;TIEMPO DE CARGUE;TIEMPO MUERTO;TIEMPO EN EL VIAJE;HORAS MOTOR;DIAS DE VIAJE;COSTO MANO DE OBRA;PEAJES RUTA;VALOR PEAJES;CONSUMO ACPM;COSTO ACPM;ALOJAM.;MANUTENC.;IMPREVISTOS;MANTENIMIENTO;DIVERSOS;FLETE 
3-ene;B/BERMEJA;CARTAGENA;1338;160;120829;121749;920; -   ;33.656;;33.656;0:00:00;0:00;0:00:00;27:53:17;1;$ 122.978;18;540.700; -   ; -   ;22.950;40.800; -   ; -   ;10.000;$ 135
3-ene;B/BERMEJA;CARTAGENA;1338;160;1051479;1052855;1376; -   ;33.213;;33.213;0:00:00;0:00;0:00:00;28:59:13;1;$ 122.978;18;540.700;160;1.273.600;22.950;40.800; -   ; -   ;22.000;$ 135
3-ene;B/BERMEJA;CARTAGENA;1338;160;313692;314808;1116; -   ;33.705;;33.705;0:00:00;0:00;0:00:00;18:28:53;1;$ 122.978;18;540.700;160; -   ;22.950;40.800; -   ;55.000;10.000;$ 135
3-ene;B/BERMEJA;LA PUTANA;100;23;872293;872394;101; -   ;33.290;33.290; -   ;0:00:00;0:00;0:00:00;5:38:12;1;$ 122.978;0; -   ; -   ; -   ; -   ;13.600; -   ; -   ; -   ;$ 20
4-ene;B/BERMEJA;CARTAGENA;1338;160;945662;947076;1414; Revisar Km. ;33.500;;33.500;0:00:00;0:00;0:00:00;28:26:45;2;$ 245.956;18;540.700; -   ; -   ;22.950;40.800; -   ;480.000;10.000;$ 135
4-ene;B/BERMEJA;SAN JUAN NEPOMUCENO;1372;145;571481;572666;1185; -   ;24.780;;24.780;1:20:00;0:57;25:50:00;33:07:07;2;$ 245.956;12;416.000; -   ; -   ;45.900;54.400; -   ;24.280;10.000;$ 122
4-ene;B/BERMEJA;CARTAGENA;1338;160;885548;886931;1383; Revisar Km. ;34.010;;34.010;0:00:00;0:00;0:00:00;24:55:03;2;$ 245.956;18;540.700;160;1.273.600;45.900;47.600; -   ;39.000;20.000;$ 135
4-ene;B/BERMEJA;CARTAGENA;1338;160;488871;490290;1419; Revisar Km. ;33.471;;33.471;0:00:00;0:00;0:00:00;28:57:20;2;$ 245.956;18;567.000; -   ; -   ;45.900;47.600; -   ; -   ;20.000;$ 135
4-ene;B/BERMEJA;SAN JUAN NEPOMUCENO;1372;145;944996;946197;1201; -   ;33.680;;33.680;0:00:00;0:00;0:00:00;24:40:38;2;$ 245.956;12;343.500; -   ; -   ;45.900;40.800; -   ;60.000;44.000;$ 122
4-ene;MOSQUERA;B/BERMEJA;N/A;0;803846;804284;438;#­VALOR!;14.450;14.450; -   ;0:00:00;0:00;0:00:00;3:42:31;1;$ 122.978;4;191.800;145;1.248.446;22.950;20.400; -   ; -   ;39.200; $ - 
4-ene;B/BERMEJA;LA PUTANA;100;23;322160;322247;87; -   ;33.200;;33.200;0:00:00;0:00;0:00:00;1:45:22;1;$ 122.978;0; -   ;170;149.940; -   ;13.600; -   ;104.850;10.000;$ 20
5-ene;B/BERMEJA;LA PAYOA;68;30;23915;24013;98; -   ;32.610;32.610; -   ;0:55:00;0:40;1:30:00;4:47:02;1;$ 122.978;0; -   ; -   ; -   ; -   ;13.600; -   ; -   ; -   ;$ 20
